iter	Accuracy	MultiClass
0	0.5371549894	1.608892087
1	0.5711252654	1.608570858
2	0.5626326964	1.608185344
3	0.5817409766	1.607705476
4	0.5902335456	1.607304866
5	0.6029723992	1.606831707
6	0.5944798301	1.606392744
7	0.5966029724	1.606097883
8	0.5944798301	1.605714953
9	0.5944798301	1.605338578
10	0.6157112527	1.604873902
11	0.6284501062	1.604469783
12	0.6411889597	1.603911204
13	0.6475583864	1.603416352
14	0.6496815287	1.602942194
15	0.6369426752	1.602579008
16	0.6539278132	1.602166816
17	0.6624203822	1.60176885
18	0.6454352442	1.601283981
19	0.6475583864	1.60078969
20	0.6433121019	1.600345726
21	0.6475583864	1.599851012
22	0.6518046709	1.599282882
23	0.6539278132	1.598732948
24	0.6560509554	1.598216656
25	0.6645435244	1.597760652
26	0.6602972399	1.59724754
27	0.6560509554	1.596791776
28	0.6602972399	1.596271984
29	0.6560509554	1.59584257
30	0.6581740977	1.595407337
31	0.6581740977	1.594976718
32	0.6560509554	1.594452906
33	0.6666666667	1.594048337
34	0.6645435244	1.593548744
35	0.6624203822	1.59307347
36	0.6645435244	1.59258538
37	0.6687898089	1.592146183
38	0.6687898089	1.591724391
39	0.6730360934	1.591451536
40	0.6645435244	1.591050376
41	0.6709129512	1.590549569
42	0.6730360934	1.590091763
43	0.6730360934	1.589600739
44	0.6794055202	1.589110405
45	0.6730360934	1.588512913
46	0.6730360934	1.588114059
47	0.6666666667	1.587766431
48	0.6645435244	1.587184533
49	0.6624203822	1.586825264
50	0.6666666667	1.586360373
51	0.6602972399	1.586034009
52	0.6560509554	1.585587846
53	0.6560509554	1.585083045
54	0.6602972399	1.584611975
55	0.6602972399	1.584111348
56	0.6624203822	1.583685441
57	0.6602972399	1.583268075
58	0.6602972399	1.582894587
59	0.6475583864	1.58249236
60	0.6475583864	1.582045859
61	0.6475583864	1.581599133
62	0.6560509554	1.581017053
63	0.6645435244	1.580513057
64	0.6687898089	1.580024787
65	0.6624203822	1.579651543
66	0.6624203822	1.579231269
67	0.6602972399	1.578840615
68	0.6602972399	1.578296008
69	0.6666666667	1.57780168
70	0.6751592357	1.577364723
71	0.6751592357	1.576996352
72	0.6709129512	1.576554676
73	0.6666666667	1.576122941
74	0.6624203822	1.575544657
75	0.6624203822	1.574990691
76	0.6709129512	1.574559172
77	0.6687898089	1.574039615
78	0.6624203822	1.573620068
79	0.6666666667	1.57308645
80	0.6709129512	1.572650478
81	0.6539278132	1.572109711
82	0.6624203822	1.571622319
83	0.6645435244	1.571154596
84	0.6687898089	1.570649944
85	0.6666666667	1.570147576
86	0.6645435244	1.569621014
87	0.6645435244	1.569221763
88	0.6645435244	1.568720167
89	0.6687898089	1.5681564
90	0.6624203822	1.567782072
