iter	Passed	Remaining
0	3	1168
1	7	1167
2	11	1099
3	15	1111
4	18	1092
5	22	1079
6	25	1079
7	29	1066
8	33	1071
9	36	1063
10	40	1056
11	43	1051
12	47	1041
13	50	1033
14	53	1025
15	57	1016
16	60	1010
17	64	1006
18	67	1003
19	71	1002
20	74	996
21	78	989
22	82	987
23	85	984
24	89	980
25	92	974
26	95	970
27	99	966
28	103	965
29	107	963
30	110	959
31	113	953
32	117	950
33	120	945
34	124	942
35	127	938
36	131	933
37	134	929
38	138	925
39	141	920
40	144	915
41	148	914
42	152	911
43	155	907
44	159	902
45	162	899
46	166	894
47	169	890
48	172	885
49	176	883
50	180	879
51	183	875
52	186	870
53	190	865
54	193	863
55	197	858
56	200	854
57	203	850
58	207	846
59	210	842
60	214	839
61	217	834
62	221	831
63	224	828
64	227	824
65	231	819
66	234	815
67	238	812
68	241	809
69	245	805
70	248	802
71	252	800
72	256	796
73	259	792
74	262	788
75	266	786
76	270	783
77	273	779
78	277	775
79	280	771
80	284	768
81	287	764
82	291	761
83	294	757
84	298	753
85	301	750
86	305	746
87	308	743
88	311	739
89	315	736
90	318	732
91	319	723
92	323	718
93	326	715
94	329	711
95	333	708
96	336	704
97	340	700
98	343	697
99	346	693
100	350	690
101	353	686
102	357	683
103	360	680
104	364	676
105	367	673
106	371	669
107	374	666
108	379	664
109	383	661
110	395	673
111	399	669
112	402	666
113	406	662
114	409	659
115	413	655
116	416	651
117	420	648
118	423	644
119	427	640
120	430	637
121	434	633
122	437	630
123	441	626
124	444	622
125	448	619
126	452	615
127	455	612
128	459	608
129	462	604
130	466	601
131	469	597
132	472	593
133	476	590
134	479	586
135	483	582
136	486	578
137	489	575
138	493	571
139	496	567
140	500	563
141	503	560
142	507	556
143	510	553
144	514	549
145	517	545
146	521	542
147	524	538
148	527	534
149	531	531
150	534	527
151	538	524
152	541	520
153	545	517
154	549	513
155	552	510
156	556	506
157	559	502
158	562	499
159	566	495
160	569	491
161	572	487
162	576	484
163	579	480
164	582	476
165	586	473
166	590	469
167	593	466
168	596	462
169	600	458
170	603	455
171	607	451
172	610	448
173	613	444
174	617	441
175	621	437
176	624	434
177	628	430
178	631	426
179	635	423
180	638	419
181	641	416
182	645	412
183	648	408
184	652	405
185	655	401
186	658	398
187	662	394
188	665	390
189	668	387
190	672	383
191	675	379
192	679	376
193	682	372
194	685	369
195	689	365
196	692	362
197	696	358
198	699	355
199	703	351
200	706	348
201	710	344
202	714	341
203	717	337
204	721	334
205	724	330
206	729	327
207	732	323
208	736	320
209	739	316
210	743	313
211	747	310
212	751	306
213	754	303
214	758	299
215	761	296
216	765	292
217	768	289
218	771	285
219	775	281
220	778	278
221	782	274
222	785	271
223	789	267
224	792	264
225	795	260
226	799	257
227	802	253
228	806	250
229	809	246
230	813	242
231	816	239
232	820	235
233	823	232
234	827	228
235	830	225
236	834	221
237	838	218
238	841	214
239	845	211
240	848	207
241	852	204
242	855	200
243	859	197
244	862	193
245	866	190
246	869	186
247	873	183
248	877	179
249	881	176
250	884	172
251	888	169
252	891	165
253	895	162
254	898	158
255	901	155
256	905	151
257	909	147
258	912	144
259	915	140
260	919	137
261	922	133
262	925	130
263	929	126
264	932	123
265	935	119
266	939	116
267	942	112
268	946	109
269	949	105
270	953	102
271	956	98
272	959	94
273	963	91
274	966	87
275	970	84
276	973	80
277	977	77
278	980	73
279	983	70
280	987	66
281	990	63
282	994	59
283	997	56
284	1000	52
285	1003	49
286	1007	45
287	1010	42
288	1014	38
289	1017	35
290	1021	31
291	1024	28
292	1028	24
293	1031	21
294	1035	17
295	1038	14
296	1042	10
297	1045	7
298	1048	3
299	1052	0
